,index,종류별,상황별,재료별,방법별,제목,url,조회수,셰프,인분,조리시간,난이도,재료,인트로,조리순서,해시태그
0,1,밥/죽/떡,일상,육류,끓이기,TV요리) 강식당 2 이거 참 웃기는짜장떡볶이 일세 ★,https://www.10000recipe.com/recipe/6914424,"29,714",만개의레시피,2,30분 이내,아무나,"['떡볶이떡 2종이컵', '어묵 2장', '짜장 소스 2/3국자', '고추장 1/2숟가락', '물 1.5종이컵', '대파 1/2대', '춘장 150g', '다진 대파 1/2종이컵', '다진 양파 1.5종이컵', '다진돼지고기 1종이컵', '식용유 1/2종이컵', '황설탕 1/3종이컵', '굴소스 3숟가락', '간장 2.5숟가락', '다진생강 1/3숟가락']","뭐얌 ★ 웃긴줄 알았더니 너무 맛있쟈냐 ★ 
안엘프 ★ 너 못하는게 뭐야 ( 소름 ) 
세상의 모든 레시피 만개의레시피","['1. 팬에 식용유를 넣고 송송 썬 대파를 넣어 중약불에서 파기름을 만든다.팬', '2. 파향이 올라오면 황설탕을 넣는다.', '3. 다진 돼지고기, 다진 양파를 넣어 볶은 후 다진 생강을 넣어 볶는다.', '4. 간장, 굴소스, 춘장을 넣고 중불에서 10분간 볶아 짜장소스를 만든다.', '5. 다른 팬에 짜장소스와 물을 붓고 떡볶이떡, 어묵, 고추장을 넣어 한소끔 끓인 후 송송 썬 대파를 넣어 완성한다.팬']","['강식당', '강식당2', '강식당레시피', '백종원레시피', '웃기는짜장떡볶이', '짜장떡볶이', 'TV레시피', 'TV요리', '간식', '야식']"
1,2,밥/죽/떡,일상,육류,끓이기,우유와 브로콜리 듬뿍넣은 미트볼 크림카레,https://www.10000recipe.com/recipe/5666783,"14,276",순두부,1,30분 이내,초급,"['돼지고기다짐육 600g', '양파                                                                                다진것 ', '청양고추                                                                                다진것 ', '식용유 ', '고형카레 5-6인분', '물 200L', '우유 400L', '굵은후춧가루 약간', '브로콜리                                                                                크게썰은것 ', '다진마늘 2큰술', '마른홍고추 3개', '식용유 적당량', '생강가루 1/2큰술', '후춧가루 ', '다진마늘 1큰술', '소금 ']",맛있는 카레~ 요즘 생크림 넣어서 먹는 레시피가 많이 있어서 해보려 합니다. 근데 저는 스프에도 생크림을 안넣는 지라 우유를 듬뿍 넣었습니다. 그리고 청량고추 넣은 미트볼과 함께 먹으니 완전 특별식입니다.,"['1. 미트볼은 각자 레시피들이 많이들 있으시니 그대로 하시면 되겠지만 저는 매운카레를 좋아해서 고기와 카레와의 조화를 위해 양파와 청량고추 다진것을 넣고 생강가루와 마늘 소금 후추를 넣고 잘 공기를 빼서 준비했습니다. 제 스타일은 동그랑땡 레시피 같네요 \n미트볼은 육즙이 갇힐 수 있도록 처음에는 식용유 살짝 뿌린 팬에 돌돌 굴려가며 익혀주시구요 겉이 갈색이 날 정도면 그냥 꺼내두시면 됩니다. 이따가 카레에 한번더 익힐 거거든용 \n브로콜리는 큼직하게 썰어주세요~', '2. 미트볼과 브로콜리를 냄비에 넣고 물 200리터 먼저 넣고 끓여주시다가 카레를 넣고 잘 풀어주세요. 잘 풀어진 카레에 우유를 400리터를 조금씩 농도 맞추어 가며 풀어주세요 부드러운 느낌이 날때 까지 약한 불에 저어주세요 통후추가루넣어주시구용', '3. 마늘 프레이크는 식용유를 적당히 두르시고, 다진마늘 두큰술을 먼저 약한 불에 서서히 볶아주시다가 갈색이 나면 마른고추 3개 잘게 썬것을 넣고 조금더 향을 내주시다가 키친타올에 기름을 빼주시면 됩니다.요렇게 은근히 볶아주면 쫀득해진답니다~']",
2,3,밥/죽/떡,일상,육류,끓이기,스키야키 덮밥,https://www.10000recipe.com/recipe/2476665,"9,986",sunny,2,60분 이내,초급,"['쇠고기 샤브샤브용 130g', '양파 1/2개', '대파 1대', '두부 1/2모', '멸치다시마육수 1.5컵', '달걀 2개', '밥 2공기', '식용유 약간', '청주 2큰술', '맛술 2큰술', '설탕 2큰술', '간장 4큰술']",간단하지만 든든한 한그릇~ 스키야키 덮밥입니다.,"['1. 두부는 손가락길이 정도로 잘라주고, 쇠고기는 핏물을 제거해 한입크기로 잘게 잘라줍니다. 대파는 5cm의 길이로 넓게잘라주고, 양파는 채썰어줍니다.', '2. 기름을 두른 팬에 두부를 사방으로 노릇하게 구워주고, 대파도 구운뒤 그릇에 덜어놓습니다.', '3. 팬에 기름을 두르고, 양파를 노릇하게 볶아주다가, 조미간장을 넣어 끓여줍니다.', '4. 조미간장이 끓기 시작하면, 잘라놓은 쇠고기를 넣어 익힌 뒤', '5. 미리 구워놓은 두부와 대파를 넣어줍니다.', '6. 마지막으로 계란물로 줄알을 친 뒤, 계란이 약 70%정도만 익도록 끓여주시고, 밥위에 올리던가 곁들이면 완성입니다.']",
3,4,밥/죽/떡,일상,육류,끓이기,고급진 짜장밥 만들기,https://www.10000recipe.com/recipe/6834536,"185,102",강철새잎,2,60분 이내,초급,"['춘장 시판용춘장 1개', '식용유 3컵', '돼지고기 1컵', '양파 1/2개', '오이 1/2개', '양배추 1/5개', '호박 1/2개', '버섯 1컵', '대파 1컵', '다진마늘 1큰술', '생강가루 1t', '전분물                                                                                농도에맞게 ', '메이플시럽 2t']",이연복과 집밥백선생의 만남!!!!!!! 짜장밥 만들기!!!,"['1. 먼저 짜장에 들어갈 각종 채소들을 깍둑썰기로 준비합니다. 양배추, 오이, 호박, 버섯, 양파는 가장 기본!!!', '2. 요즘엔 카레가루처럼 짜장가루를 팔아서 그걸 그냥 사용하면 되지만 만약 짜장가루가 없다면 춘장은 어느 슈퍼에도 있으니 그걸 구입하셔서 식용유 듬뿍 넣으시고 춘장을 볶아줍니다.\n춘장은 이렇게 기름에 볶아 주셔야 해요.', '3. 볶아진 춘장을 거름망으로 기름을 쏘옥 빼주시고 냉장고에 보관해 두셨다가 사용하시면 됩니다. 두고두고 사용할 수 있어요!!', '4. 팬에 기름을 두르고 먼저 파를 넣고 파기름을 내어 줍니다.', '5. 거기에 돼지고기를 넣고 익히면서 볶아 주어요.', '6. 돼지고기가 어느정도 익었다면 각종 채소들을 같이 넣고 볶아 줍니다. 양파를 먼저 볶아주셔두 좋아요~~~~ 양파향을 내기 위해서\n그리고 여기에 다진마늘과 생강가루를 넣고 같이 볶아 줍니다. 만약 매콤한 맛을 좋아하신다면 청양고추두 넣으면 좋겠쥬~~ ㅋㅋ\n아니면 고춧가루를 살짝 한티스푼 넣고 볶아주셔두 풍미가 확~~ 달라져요.', '7. 마지막으로 기름에 볶아낸 짜장 2큰술을 넣고 잘 섞어 가면서 볶아 줍니다.', '8. 다 볶아지면 이제 마지막으로 물을 조금 넣고 약 컵으로 두컵정도 부어 주시고 팔팔 끓여 주세요~~~~~ 그러는 사이에 전분물을 준비해 놓습니다.', '9. 마지막에 전분물를 넣고 잘 섞어서 걸쭉하게 만들어 주고요. \n만약 짜장가루를 사용하셨다면 굳이 전분물이 필요하지 않더라구요!!\n고급진짜장이 완성되었습니다.']","['짜장면', '짜장밥', '이연복셰프짜장면', '집밥백선생짜장면', '콩가루', '춘장', '짜장가루', '춘장볶기']"
4,5,밥/죽/떡,일상,육류,끓이기,(가정식 짜장덮밥) 달큰한 맛의 아이들이 좋아하는 짜장밥~~^^,https://www.10000recipe.com/recipe/1376682,"85,150",문성실,4,60분 이내,초급,"['양파(중) 2개', '감자(중) 2개', '양배추(대) 1/6통', '호박 1/3개', '당근 1/4개', '돼지고기 1줌', '새우살 1줌', '청주 1숟가락', '다진마늘 0.5숟가락', '소금 조금', '후춧가루 조금', '생강즙                                                                                이나 가루 ', '춘장 4숟가락', '식용유 4숟가락', '흑설탕 1숟가락', '물엿 2숟가락', '굴소스 1숟가락', '간장 1숟가락', '물 2컵', '녹말가루 2숟가락', '물 4숟가락']","지난번에는 간자장을 올려 드렸는데요.. 이번에는 조금 단 맛이 강하고, 그리고 나중에 전분을 넣어서 걸쭉하게~~ 촉촉하게 만드는 짜장이랍니다.... 생각보다 많은 양의 채소를 먹을 수 있고, 또 가정에서도 쉽게 만들 수 있는 것이니 같이 만들어 보세요....^^ 중국집의 짜장보다 자극적이지 않고... 소박하니 맛이 있떠욤.....","['1. 돼지고기(1줌)는 등심이나 안심 등의 살코기 부위로 먹기 좋게 깍뚝 썰어서 돼지고기양념재료인 청주(1), 다진 마늘(0.5), 소금, 후춧가루, 생강즙이나 가루(약간씩) 를 넣고 조물조물 밑간을 하고, 새우살(1줌)도 씻어서 물기를 빼서 준비하고... 짜장에 새우가 들어가면 맛이 있어서 늘 같이 넣곤 하는데요, 새우살이 없다면, 그냥 돼지고기의 양을 늘려서 해도 좋답니다....', '2. 감자, 당근, 양파, 양배추, 호박은 먹기 좋게 잘게 썰고....', '3. 식용유(4)에 춘장(4)을 넣고 춘장이 타지 않게 달달 볶아 주고....', '4. 달군 팬에 기름을 살짝만 두르고, 밑간을 한 돼지고기를 넣고 달달 볶다가.....', '5. 당근과 감자, 호박을 넣고 볶고....', '6. 이어서 양파와 양배추, 새우살을 넣고 볶다가...', '7. 채소가 충분히 다 익으면, 미리 볶아둔 춘장을 넣고, 춘장과 채소들이 고루 섞이도록 같이 볶아 주고.... 이때 자장소스재료인 흑설탕(1), 물엿(2), 굴 소스(1), 간장(1) 을 넣고 같이 볶아주도록 합니다... 흑설탕 없으면 그냥 설탕 넣으세요~~~', '8. 이어서 물(2컵)을 넣고...', '9. 바글바글 짜장을 끓이다가.....', '10. 물(4)과 녹말가루(2)를 섞은 물녹말을 조금씩 넣어가면서 짜장의 농도를 맞춰주면 끝....']",
5,6,밥/죽/떡,일상,육류,끓이기,돈부리덮밥 맛있게 만들기 ♬,https://www.10000recipe.com/recipe/6834374,"10,972",라미and요니,1,30분 이내,초급,"['쇠고기 30g', '양송이 2개', '다시마 1조각', '부추 5줄', '쑥갓 1줄', '계란 1개', '다시마육수 0.5컵', '간장 2.5T', '설탕 1.5T', '청주 1T', '소주 1T']",큰 그릇에 밥을담고 그위에 여러가지재료를얹어서먹는 일본식덮밥으로 저렴하고맛있어 인기있는대중음식디아. 돈부리는 밥그릇보다 더 큰그릇을 뜻하는말이다. 원래 덮밥은 '돈부리메시'라고하는데 돈부리를 줄여서'동'으로부르기도한다. 한국식덮밥과는달리 비벼먹지않는다.,"['1. 다시마를 개끗한행주& 물로 한번씻어주세요! 다시마 겉에 하얗게생긴걸 제거해주셔야 육수도맑고 불순물이나오지않는답니다', '2. 물 반컵정도에 다시마1개를 넣고 끓여주세요~', '3. 5분정도끓인뒤 불을끄고 다시마를 건져주세요. 다시마를 오래 넣어두게되면 다시마에서 끈끈한성분이나와 식감,맛이 이상해진답니다!', '4. 재료손질을 해주세요\n고기- 얇게저밀수록좋아요/ 부추- 4센치정도크기/ 양송이- 일정하게슬라이스/ 쑥갓- 잎만떼어주세요 (집에있는재료로하셔도 무방합니다)', '5. 아까끓인 육수반컵+간장+설탕+소주를넣고 섞어주세요', '6. 육수에 고기를 넣고서 끓여주세요', '7. 끓어오르면 위에 떠오르는 거품을 제거해주세요. 제거를 안할시에는 텁텁한맛이있을수있어요', '8. 나머지 재료를 넣고서 한번더 끓여주세요', '9. 재료가 끓으면 계란을 풀은뒤에 전체적으로 돌려가며 부어주세요', '10. 계란을넣고서 절대 저어주지마세요!', '11. 밥위에 완성된 재료를 얹어주면은 완성!']","['돈부리', '일식', '돈부리만들기', '계란', '쇠고기']"
6,7,밥/죽/떡,일상,육류,끓이기,백종원의 양파캬라멜 카레라이스,https://www.10000recipe.com/recipe/6830020,"18,331",황금사과,2,30분 이내,초급,"['소고기 200g', '양파 1개', '감자 1개', '당근 1/2개', '카레 1봉지', '오일                                                                                포도씨유 등 ']",어머!! 너무 맛있어요...정말 오닐지널 카레맛이 나네요.. 양파를 오래오래 볶아서 캬라멜색깔이 나도록 만든 양파캬라멜카레라이스.. 이름만 길었지요..아주 쉬워요~~,"['1. 감자를 깍뚝썰기를 했답니다.', '2. 전 당근을 등굴게 슬라이스를 했지만 채칼로 해서 채를 치시면 더 간편하시답니다.', '3. 양파도 깨끗하게 씻어서 썰어 놓구요..', '4. 소고기를 하셔도 괜찮으시구요..해물카레를 하실려면 해물을 넣으셔도 괜찮으시겠죠?', '5. 이제 여기부터 다른 카레와는 틀리답니다. 양파를 볶는데 노란 캬라멜색깔이 나오도록까지 계속 볶아준답니다.(백종원님께서는 40~50분을 요구) 아..이 양파는 너무 볶아져서 못먹겠구나..이런정도까지요..', '6. 흐물흐물하죠?', '7. 노랗게 양파가 볶아지면 모든 재료를 함께 볶아준답니다. 익을 때까지 볶아주시구요..', '8. 정말 잘 익었다고 생각이 드신다면 물을 부을겁니다..', '9. 카레를 넣기 전이고요, 물만 부은건데..노란 카레색깔이 나오죠? 바로 이겁니다! 양파가 나타낼려고 하는 특성~~', '10. 조금씩 재료가 익도록 끓여주니까 더 노랗게 변하여 카레를 넣은 줄 알겠어요..', '11. 카레는 고형이나 가루나 아무 카레로 사용하셔도 괜찮으세요^^', '12. 카레를 넣어주었죠~', '13. 이제는 정말 카레를 넣은거에요..양파의효능이 이렇게 깊을 줄이야!! 근데 맛은 더 기가 막히다는 겁니다..', '14. 밥을 공기에 꾸욱 눌러 담아서 접시위에 올려서 거꾸로 뒤집어서 ..공기를 빼시면 저렇게 되시는 것은 아시죠?', '15. 그러구 카레를 올려준거랍니다. 흣.. 진짜같은 카레..오리지날 카레!!!']",
7,8,밥/죽/떡,일상,육류,끓이기,겨울 보양식 소머리 국밥,https://www.10000recipe.com/recipe/6504139,"28,436",저녁노을,1,60분 이내,고급,"['밥 1공기', '사골 육수 3컵', '콩나물 100g', '배추(단배추) 100g', '팽이버섯 1팩', '양파 1/2개', '대파 ', '마늘 ', '간장 약간']",겨울철에 보양식으로 먹는 든든한 소머리 국밥입니다.,"['1. 푹 삶은 사골육수와', '2. 쫄깃한 고깃살을 준비한다.', '3. 각종 채소는 먹기 좋게 썰어준다.', '4. 사골 육수를 냄비에 담고 끓여주고 썰어둔 고기도 삶아낸다.', '5. 육수가 끓으면 단배추, 콩나물, 양파, 팽이버섯을 넣어준다.', '6. 마지막에 대파와 마늘, 썰어둔 고기를 함께 넣어 마무리한다.', '7. 뚝배기로 옮겨 담았습니다.', '8. 깍두기 국물을 넣어 먹으면 맛있습니다.']",
8,9,밥/죽/떡,일상,육류,끓이기,"후다닥~~~간단한 점심 ""불고기 덮밥""",https://www.10000recipe.com/recipe/6894374,"2,361",달콤스윗맘,2,30분 이내,아무나,"['불고기거리 소고기 1kg', '양파 1개', '당근 1개', '양송이버섯 200g', '잔파 4대']","20분 만에 후딱~~~ 차려낸
불고기 덮밥
양송이 버섯 듬뿍~
로멘인 상추를 곁들이면 맛이 업!!!!","['1. 불고기 거리 소고기를 \n양념에 조물조물~한 후\n(양념에 재울 필요가 없어요)\n센불에서 볶아주다가\n어느정도 익으면\n당근과 양파를 채썰어 넣고 볶아줍니다.[불고기 양념]\n간장1:흑설탕1/2:물엿1/2 비율 정확히 지켜주면 맛은 보장!!!\n\n(소고기 1kg에 대한 분량입니다.)\n\n물450ml\n간장 9큰술\n흑설탕 4.5큰술\n물엿 4.5큰술\n맛술 1.5큰술\n참기름 3큰술\n\n간양파 1.5큰술\n사과 1.5큰술\n간마늘 1.5큰술\n생강 1/4큰술\n후춧가루 1/4큰술', '2. 썰어 놓은 양송이 버섯을 구입해서\n그대로 사용하면 편해요.', '3. 고기가 다 익으면\n양송이 버섯과 어슷썬 파를 넣고\n2분 볶아주다가 불을 끕니다.소고기는 오래 가열하면 질겨지니까\n되도록 빨리 볶아내는 것이 좋아요!', '4. 접시에 밥을 담고\n불고기를 올리고\n통깨를 솔솔~~~ 뿌려준 다음\n로메인상추(양상추)를 곁들여 상에 올립니다.\n맛도 좋고 \n영양만점~\n불고기 덮밥으로 \n간단하게 한끼!!!!!\n괜찮죠?']","['불고기양념', '불고기덮밥', '혼밥', '한그릇음식', '초간단식사']"
9,10,밥/죽/떡,일상,육류,끓이기,부드럽고 촉촉한 불고기덮밥,https://www.10000recipe.com/recipe/1679614,"5,021",칼스버그,4,2시간 이상,초급,"['불고기 300g', '팽이버섯 ', '달걀 2개', '검은깨 ', '실고추 ', '물 1.5컵', '배즙 1/2컵', '양파즙 1/2컵', '간장 1.5큰술', '설탕 2큰술', '다진 마늘 1/2큰술', '다진 파 1큰술', '청주 1큰술', '후추 조금', '물 4컵', '다시마 작은 것 2장', '가스오부시 1/2컵', '간장 2큰술', '청주 1큰술']","부드럽고 촉촉한 불고기의 맛과 함께 하는 밥의 묘미, 한국적인 불고기 양념으로 조리하여 옆동네 규동과 달리 초생강이 없어도 멋진 맛을 즐길 수 있습니다.","['1. 소고기는 핏물을 빼고 양념을 넣어 양념들이 잘 배이도록 고루 섞어 샐러드볼에 넣고 뚜껑을 닫아 냉장고에 약 8시간 정도 재어둡니다.', '2. 숙성된 소고기를 팬에 넣고 끓이다가 불고기가 절반정도 익을 무렵에 준비한 채소를 넣어 불고기와 채소가 익을 때까지 끓여주면 맛있는 불고기가 완성됩니다.이 불고기로 덮밥을 이용하면 색다른 맛을 즐길 수 있습니다.', '3. 분량의 물에 다시마를 1시간 정도 담가두었다가 빛깔이 노르스름하게 바뀌면 중불에 한소끔 끓인 후 다시마를 건져냅니다.', '4. 끓고 있는 다시마 국물에 가스오부시(가다랭이 가루)를 넣고 10초 정도 끓이다가 불을 끄고 가스오부시가 완전히 가라앉을 때까지 그대로 놓아둡니다. 다시마 국물을 망이나 베보자기에 걸러 맑게 만든 후 간장과 청주를 넣고 한번 끓이면 맛있는 맛국물이 됩니다.', '5. 팽이버섯은 흐르는 물에 씻은 다음 물기를 빼고 실고추는 적당한 길이로 잘라 준비를 합니다.', '6. 달걀은 곱게 풀어서 준비하구요.', '7. 작은 팬에 맛국물 한 컵을 넣고 끓이다가 불고기를 넣고 한소끔 끓이다가 팽이버섯을 올립니다.', '8. 한번 더 한소끔 끓인 후에 달걀물을 풀고 달걀물이 익을때까지 끓이다가 불에서 내리고 밥 위에 곱게 올려주면 맛있는 불고기덮밥이 완성됩니다.', '9. 마지막으로 실고추를 살짝 얹은 다음 검은깨를 솔솔 뿌려주면 맛이 더 살아난답니다.']",
