음식/체질,목양,목음,토양,토음,금양,금음,수양,수음
쇠고기,OO,OO,OO,△,XX,XX,△,OO
돼지고기,△,OO,OO,OO,X,XX,XX,XX
닭고기,O,△,XX,XX,XX,XX,OO,OO
오리고기,O,△,XX,XX,XX,XX,OO,OO
개고기,O,△,XX,XX,XX,XX,OO,OO
염소고기(흑염소중탕),O,△,XX,XX,XX,XX,OO,OO
"우유(냉/온), 유제품",O(온),O(온),O(냉),△(냉),XX,XX,△(온),△(온)
버터,O,O,O,△,XX,XX,△,O
치즈,O,O,O,O,X,X,△,△
계란 노른자,O,O,O,△,△,△,O,O
계란 흰자,△,△,O,O,O,O,△,△
대부분의 바다생선,XX,XX,O,O,OO,OO,△,X
"민물생선(장어, 미꾸라지)",O,O,O,△,XX,XX,△,O
조개류(패류),XX,XX,O,O,OO,OO,X,X
굴,XX,XX,O,O,O,△,XX,XX
"새우,게(갑각류)",XX,XX,O,O,O,O,X,XX
흰살생선,XX,XX,O,O,OO,OO,O,X
붉은살 생선,XX,XX,△,△,O,O,X,X
복어,XX,XX,OO,OO,O,O,XX,XX
콩,O,O,O,△,XX,XX,O,O
메주콩,O,O,O,△,XX,XX,O,O
완두콩,O,O,O,O,△,△,O,O
강낭콩,O,O,O,O,△,△,O,O
팥,XX,O,O,O,△,△,XX,XX
청국장,O,O,O,△,XX,XX,△,O
"견과류 (땅콩,아몬드,캐슈넛,피스타치오 등)",O,O,O,O,XX,XX,O,O
은행,O,O,X,XX,XX,XX,O,O
"호두(Walnut, Pecan)",O,O,X,XX,XX,XX,O,O
밤,O,O,X,XX,XX,XX,O,O
"잣, 해바라기씨",O,O,X,XX,XX,XX,O,O
도토리,O,O,X,X,XX,XX,O,O
된장(발효된장),O,O,O,O,O,O,O,OO
두유,O,O,O,△,XX,XX,△,△
두부,O,O,O,O,O,O,O,O
쌀(백미),O,O,O,O,OO,OO,O,O
현미,O,△,XX,XX,X,X,O,O
찹쌀,O,X,XX,XX,X,△,O,O
보리,X,△,O,O,△,△,XX,XX
메밀,X,X,O,O,O,O,△,X
수수,O,O,△,△,X,X,O,△
메조,△,△,O,O,O,O,X,X
녹두,△,△,O,O,O,O,△,△
옥수수,O,O,△,△,△,△,O,O
밀가루,OO,OO,O,△,XX,XX,△,O
율무,O,O,△,△,XX,XX,△,△
"숭늉, 누룽지",O,△,X,X,△,O,O,O
귀리,O,O,O,△,X,X,△,△
호밀,X,△,O,O,△,△,△,X
들기름,O,O,△,X,X,X,△,△
참기름,O,△,X,X,X,X,O,O
콩기름,O,O,O,△,X,X,△,△
옥수수유,O,O,△,△,X,△,O,O
카놀라유,O,O,O,O,△,△,O,O
올리브유,△,△,O,O,△,△,△,△
